SaleID,Date,StoreID,ProductID,Qty,SalePrice,DiscountPct,PaymentMethod
SALE0081,2024-01-15,S004,P030,17,1391.01,15,UPI
SALE0082,2024-01-05,S005,P036,7,542.1,0,UPI
SALE0083,2024-03-12,S002,P005,1,2291.48,5,Card
SALE0084,2024-04-09,S005,P037,6,614.07,0,UPI
SALE0085,2024-04-15,S003,P003,3,4936.68,0,UPI
SALE0086,2024-02-25,S003,P029,17,2012.88,0,UPI
SALE0087,2024-01-24,S002,P003,15,4952.45,5,Card
SALE0088,2024-05-03,S003,P013,17,1163.02,0,Card
SALE0089,2024-06-22,S005,P007,5,1030.13,0,EMI
SALE0090,2024-01-30,S005,P025,1,899.65,0,Cash
SALE0091,2024-01-12,S004,P022,4,269.45,15,UPI
SALE0092,2024-03-20,S005,P002,7,23518.59,0,UPI
SALE0093,2024-03-22,S005,P018,15,287.38,0,Card
SALE0094,2024-01-30,S003,P011,1,4813.43,10,Cash
SALE0095,2024-03-30,S005,P014,18,1516.71,0,UPI
SALE0096,2024-02-13,S002,P037,3,553.87,0,EMI
SALE0097,2024-01-08,S002,P004,16,19476.15,0,Cash
SALE0098,2024-01-23,S001,P025,14,927.54,15,EMI
SALE0099,2024-03-20,S003,P040,11,1083.05,15,Cash
SALE0100,2024-02-03,S005,P030,3,1665.81,15,EMI
SALE0101,2024-03-20,S004,P007,15,1139.25,0,Card
SALE0102,2024-04-03,S003,P040,13,862.75,15,UPI
SALE0103,2024-05-04,S004,P021,1,95.1,0,UPI
SALE0104,2024-02-13,S004,P031,10,881.68,10,Card
SALE0105,2024-04-13,S001,P033,4,1464.46,15,Cash
SALE0106,2024-04-28,S005,P020,13,322.47,0,Card
SALE0107,2024-05-03,S002,P036,13,445.77,0,EMI
SALE0108,2024-03-28,S005,P028,18,1310.01,0,Cash
SALE0109,2024-01-30,S004,P037,19,614.26,0,Cash
SALE0110,2024-03-19,S002,P029,13,1832.88,0,EMI
SALE0111,2024-06-14,S004,P021,2,96.11,0,Cash
SALE0112,2024-04-25,S002,P010,18,1627.57,10,EMI
SALE0113,2024-06-23,S002,P013,11,1158.29,15,UPI
SALE0114,2024-01-23,S003,P028,19,1009.86,10,EMI
SALE0115,2024-01-16,S003,P009,12,555.05,0,Cash
SALE0116,2024-01-29,S003,P036,10,596.41,0,EMI
SALE0117,2024-06-09,S004,P038,11,2485.33,5,EMI
SALE0118,2024-02-24,S005,P028,6,1214.08,0,EMI
SALE0119,2024-02-09,S004,P024,10,53.7,15,Card
SALE0120,2024-01-19,S001,P009,1,423.78,5,EMI
SALE0121,2024-02-05,S001,P009,14,547.95,15,EMI
SALE0122,2024-04-26,S002,P040,17,946.4,5,EMI
SALE0123,2024-02-17,S002,P023,14,72.09,10,EMI
SALE0124,2024-03-09,S005,P016,14,669.42,10,UPI
SALE0125,2024-05-25,S001,P003,16,5303.48,0,EMI
SALE0126,2024-05-14,S002,P006,9,32650.73,0,Cash
SALE0127,2024-06-10,S004,P016,3,619.11,10,UPI
SALE0128,2024-03-28,S001,P040,18,1069.53,5,EMI
SALE0129,2024-05-26,S004,P033,11,1517.52,0,UPI
SALE0130,2024-06-26,S001,P011,20,4504.87,15,UPI
SALE0131,2024-05-28,S004,P004,6,17467.1,15,UPI
SALE0132,2024-03-14,S001,P040,16,827.72,10,Cash
SALE0133,2024-02-03,S003,P018,20,249.64,0,Cash
SALE0134,2024-02-14,S005,P008,19,4080.69,15,EMI
SALE0135,2024-03-07,S002,P024,8,45.35,10,Cash
SALE0136,2024-02-07,S001,P022,20,308.94,0,EMI
SALE0137,2024-03-01,S004,P027,15,624.79,0,Card
SALE0138,2024-01-14,S003,P037,9,648.07,0,Cash
SALE0139,2024-04-12,S004,P011,16,3842.96,15,Card
SALE0140,2024-05-01,S004,P025,9,842.51,5,Cash
SALE0141,2024-04-07,S004,P019,11,211.39,15,Cash
SALE0142,2024-06-12,S005,P007,12,1338.94,5,UPI
SALE0143,2024-03-09,S003,P022,4,244.11,10,EMI
SALE0144,2024-06-21,S002,P030,19,1643.15,10,UPI
SALE0145,2024-05-20,S003,P012,1,2793.78,0,Cash
SALE0146,2024-05-14,S001,P027,4,616.43,0,Card
SALE0147,2024-02-19,S003,P019,2,150.6,0,Cash
SALE0148,2024-06-02,S002,P039,4,784.54,0,Cash
SALE0149,2024-04-06,S002,P039,19,809.35,0,Cash
SALE0150,2024-03-16,S003,P012,15,2782.2,0,EMI
SALE0151,2024-06-26,S004,P018,11,247.36,0,UPI
SALE0152,2024-04-09,S004,P004,11,20039.56,0,UPI
SALE0153,2024-01-18,S004,P012,16,3081.94,0,EMI
SALE0154,2024-01-28,S004,P012,5,2669.57,5,Card
SALE0155,2024-04-23,S001,P040,9,834.94,0,Cash
SALE0156,2024-04-24,S003,P037,1,677.98,0,Cash
SALE0157,2024-03-09,S004,P003,5,5294.96,5,Cash
SALE0158,2024-05-02,S004,P033,14,1507.99,15,Cash
SALE0159,2024-01-01,S002,P035,13,3030.95,5,Cash
SALE0160,2024-04-01,S005,P037,11,632.45,5,Cash
SALE0161,2024-05-16,S003,P006,11,28110.47,5,UPI
SALE0162,2024-05-21,S002,P013,2,1455.81,15,Card
SALE0163,2024-01-28,S004,P020,12,310.86,15,EMI
SALE0164,2024-01-10,S002,P013,7,1036.04,10,Card
SALE0165,2024-01-17,S004,P032,18,1049.03,5,EMI
SALE0166,2024-03-27,S001,P002,2,23669.69,15,Cash
SALE0167,2024-02-24,S001,P026,17,1674.22,15,Card
SALE0168,2024-01-19,S002,P038,2,2504.88,5,Cash
SALE0169,2024-01-12,S005,P031,8,862.53,0,Cash
SALE0170,2024-03-19,S001,P012,4,2590.21,0,Cash
SALE0171,2024-05-07,S001,P007,20,1274.38,0,Cash
SALE0172,2024-03-27,S004,P013,13,1169.2,15,Card
SALE0173,2024-01-12,S002,P021,19,99.44,0,Cash
SALE0174,2024-04-16,S002,P018,6,289.82,10,Card
SALE0175,2024-05-28,S002,P029,2,1882.2,15,EMI
SALE0176,2024-05-04,S001,P011,3,3407.14,0,Cash
SALE0177,2024-04-16,S003,P038,16,2469.31,0,Card
SALE0178,2024-04-25,S005,P018,14,245.61,0,Cash
SALE0179,2024-05-07,S002,P039,20,847.71,15,UPI
SALE0180,2024-01-02,S004,P023,18,62.93,0,Cash
SALE0181,2024-05-18,S003,P040,17,875.23,15,Card
SALE0182,2024-02-19,S001,P018,4,299.52,15,EMI
SALE0183,2024-02-10,S002,P032,2,838.98,0,UPI
SALE0184,2024-03-05,S004,P014,11,1689.51,5,Cash
SALE0185,2024-05-17,S001,P007,6,1010.75,0,EMI
SALE0186,2024-01-19,S001,P033,8,1685.05,10,UPI
SALE0187,2024-06-22,S002,P027,11,522.39,0,UPI
SALE0188,2024-03-01,S001,P015,14,4891.86,5,Card
SALE0189,2024-05-29,S004,P005,16,2044.19,5,Card
SALE0190,2024-04-26,S005,P014,6,1556.58,0,EMI
SALE0191,2024-03-10,S003,P013,7,1174.4,0,Cash
SALE0192,2024-01-29,S002,P018,15,266.82,0,UPI
SALE0193,2024-06-03,S003,P015,6,4767.88,15,Card
SALE0194,2024-02-28,S005,P037,3,575.15,10,EMI
SALE0195,2024-05-01,S005,P014,15,1493.93,15,EMI
SALE0196,2024-03-24,S002,P016,14,597.4,10,Card
SALE0197,2024-04-16,S001,P037,2,496.33,5,Cash
SALE0198,2024-04-10,S005,P028,16,1360.58,15,Cash
SALE0199,2024-03-02,S004,P029,3,2211.03,0,EMI
SALE0200,2024-04-01,S002,P014,10,1470.7,0,Cash
SALE0201,2024-02-11,S003,P031,15,907.54,15,Cash
SALE0202,2024-02-05,S004,P030,13,1329.79,0,EMI
SALE0203,2024-04-08,S001,P001,11,66554.36,0,EMI
SALE0204,2024-05-18,S005,P018,19,299.31,15,Cash
SALE0205,2024-01-15,S003,P040,17,1127.47,15,UPI
SALE0206,2024-04-08,S001,P004,12,16813.46,0,UPI
SALE0207,2024-06-14,S002,P024,18,48.93,10,Card
SALE0208,2024-03-02,S003,P009,18,418.5,5,Card
SALE0209,2024-03-31,S003,P015,9,4326.55,5,UPI
SALE0210,2024-04-05,S001,P004,12,16734.77,10,Cash
SALE0211,2024-06-22,S005,P031,18,919.47,5,UPI
SALE0212,2024-04-27,S002,P005,3,2066.62,0,UPI
SALE0213,2024-02-12,S001,P005,9,2094.28,0,EMI
SALE0214,2024-05-13,S002,P010,1,1628.61,15,Card
SALE0215,2024-04-17,S003,P031,15,872.99,0,UPI
SALE0216,2024-01-06,S001,P013,8,1396.74,10,UPI
SALE0217,2024-03-28,S005,P027,11,575.27,15,EMI
SALE0218,2024-05-25,S003,P030,5,1711.53,0,Card
SALE0219,2024-05-03,S002,P017,12,416.12,0,Card
SALE0220,2024-04-26,S003,P023,6,72.44,0,UPI
SALE0221,2024-06-26,S002,P012,5,2313.04,0,Cash
SALE0222,2024-02-02,S005,P021,15,102.94,0,Card
SALE0223,2024-06-19,S001,P036,11,617.58,0,UPI
SALE0224,2024-02-11,S005,P029,18,2012.29,0,EMI
SALE0225,2024-04-27,S002,P032,11,875.34,15,UPI
SALE0226,2024-03-15,S004,P019,19,192.28,10,EMI
SALE0227,2024-05-02,S001,P022,2,233.04,10,Cash
SALE0228,2024-04-12,S001,P020,20,350.4,5,UPI
SALE0229,2024-01-15,S003,P006,20,34733.53,10,Card
SALE0230,2024-01-06,S002,P018,3,274.55,5,Cash
SALE0231,2024-02-19,S004,P033,16,1459.94,10,Cash
SALE0232,2024-02-07,S004,P024,14,43.47,0,Cash
SALE0233,2024-03-30,S003,P019,10,212.42,10,Cash
SALE0234,2024-04-16,S004,P014,15,1499.41,15,EMI
SALE0235,2024-05-30,S002,P027,20,492.67,0,UPI
SALE0236,2024-03-26,S005,P031,3,929.16,10,EMI
SALE0237,2024-04-14,S001,P006,9,32055.3,10,EMI
SALE0238,2024-02-21,S002,P037,6,664.36,0,EMI
SALE0239,2024-05-29,S003,P003,10,4931.46,15,EMI
SALE0240,2024-01-01,S001,P015,5,3954.8,15,EMI
SALE0241,2024-04-16,S003,P008,6,3748.92,15,Card
SALE0242,2024-03-11,S001,P002,16,29561.85,0,UPI
SALE0243,2024-05-24,S004,P038,14,2614.53,15,EMI
SALE0244,2024-05-11,S003,P008,19,3111.98,0,Card
SALE0245,2024-02-07,S001,P038,11,2278.43,15,Card
SALE0246,2024-01-14,S002,P023,9,66.05,15,UPI
SALE0247,2024-03-15,S003,P004,17,17868.91,0,Card
SALE0248,2024-06-02,S001,P012,6,2672.46,0,UPI
SALE0249,2024-01-25,S003,P018,18,278.57,0,Cash
SALE0250,2024-03-13,S005,P009,12,533.85,5,UPI
SALE0251,2024-02-25,S001,P011,5,4141.4,0,Cash
SALE0252,2024-01-20,S004,P027,4,643.96,0,EMI
SALE0253,2024-06-25,S003,P023,12,60.54,5,UPI
SALE0254,2024-01-08,S003,P012,4,2370.46,15,Card
SALE0255,2024-02-02,S003,P015,7,3750.39,0,EMI
SALE0256,2024-01-05,S001,P008,16,4105.36,0,Card
SALE0257,2024-06-17,S001,P007,17,1189.67,5,Cash
SALE0258,2024-01-17,S001,P017,10,377.55,0,Cash
SALE0259,2024-05-30,S002,P039,7,648.06,0,Cash
SALE0260,2024-03-12,S002,P006,19,31267.92,0,Card
SALE0261,2024-01-18,S005,P033,4,1739.81,0,Card
SALE0262,2024-02-13,S003,P013,18,1026.67,15,Cash
SALE0263,2024-05-01,S005,P014,12,1736.61,0,EMI
SALE0264,2024-03-31,S002,P007,13,1120.15,10,Card
SALE0265,2024-03-21,S001,P027,4,571.09,10,Card
SALE0266,2024-03-14,S003,P032,18,1077.09,0,UPI
SALE0267,2024-04-08,S001,P032,10,982.58,15,UPI
SALE0268,2024-05-21,S002,P029,14,2003.81,5,Card
SALE0269,2024-06-22,S004,P005,12,2152.69,15,EMI
SALE0270,2024-04-22,S004,P007,17,1216.56,0,Cash
SALE0271,2024-04-12,S004,P010,19,2058.45,15,Card
SALE0272,2024-02-20,S003,P005,11,2170.89,5,Cash
SALE0273,2024-05-07,S004,P015,9,4729.72,10,UPI
SALE0274,2024-05-01,S003,P026,20,1972.7,5,UPI
SALE0275,2024-01-28,S004,P010,4,1601.94,5,Card
SALE0276,2024-01-26,S001,P009,2,542.78,5,Cash
SALE0277,2024-06-03,S004,P012,11,2305.03,10,Cash
SALE0278,2024-05-06,S005,P005,15,2172.34,15,EMI
SALE0279,2024-03-07,S005,P032,18,942.18,10,Cash
SALE0280,2024-01-31,S004,P003,13,4853.83,5,EMI
SALE0281,2024-01-09,S001,P030,6,1528.72,0,Card
SALE0282,2024-02-04,S004,P032,10,1074.8,5,Cash
SALE0283,2024-06-17,S004,P037,18,633.2,10,EMI
SALE0284,2024-02-10,S005,P031,17,677.0,0,EMI
SALE0285,2024-06-06,S004,P038,12,2530.47,0,UPI
SALE0286,2024-05-31,S001,P004,2,14763.54,0,UPI
SALE0287,2024-06-09,S001,P038,11,2212.02,5,UPI
SALE0288,2024-03-30,S004,P023,2,73.5,0,Card
SALE0289,2024-01-22,S005,P020,3,353.53,0,UPI
SALE0290,2024-05-17,S001,P011,11,3452.97,15,EMI
SALE0291,2024-04-17,S005,P037,9,492.16,5,Cash
SALE0292,2024-05-26,S004,P021,13,105.43,0,EMI
SALE0293,2024-03-27,S002,P007,16,1152.5,15,UPI
SALE0294,2024-03-17,S005,P011,12,4829.88,0,EMI
SALE0295,2024-02-24,S005,P005,10,2227.23,0,EMI
SALE0296,2024-01-24,S005,P015,19,3695.62,0,UPI
SALE0297,2024-05-15,S005,P005,16,2367.85,0,Cash
SALE0298,2024-03-17,S005,P020,14,330.6,0,Card
SALE0299,2024-03-05,S004,P027,20,581.3,15,Card
SALE0300,2024-02-17,S005,P002,19,25118.78,15,EMI
SALE0301,2024-06-06,S005,P018,14,312.87,15,Cash
SALE0302,2024-04-03,S002,P034,15,4494.4,0,UPI
SALE0303,2024-03-22,S004,P028,3,1283.67,5,UPI
SALE0304,2024-03-06,S002,P019,20,164.37,0,Cash
SALE0305,2024-01-08,S002,P010,8,1945.07,0,EMI
SALE0306,2024-04-21,S005,P032,14,1050.28,0,Card
SALE0307,2024-02-04,S003,P011,1,3779.48,0,Card
SALE0308,2024-01-06,S004,P003,2,5576.52,0,UPI
SALE0309,2024-01-17,S003,P039,14,833.75,15,Cash
SALE0310,2024-03-01,S002,P026,4,1742.57,10,Cash
SALE0311,2024-05-14,S005,P034,9,5134.68,0,Card
SALE0312,2024-03-21,S001,P039,11,816.94,15,EMI
SALE0313,2024-02-25,S004,P016,5,499.34,0,UPI
SALE0314,2024-03-06,S004,P029,19,1822.3,10,UPI
SALE0315,2024-05-19,S003,P008,14,3726.05,0,UPI
SALE0316,2024-05-01,S003,P010,12,1960.34,0,Cash
SALE0317,2024-03-05,S002,P004,18,16323.02,15,UPI
SALE0318,2024-03-01,S005,P008,15,3610.05,5,UPI
SALE0319,2024-03-01,S001,P020,10,280.06,0,EMI
SALE0320,2024-01-09,S004,P021,9,127.31,5,EMI
SALE0321,2024-04-18,S003,P027,4,645.11,15,UPI
SALE0322,2024-03-31,S001,P033,14,1618.52,10,UPI
SALE0323,2024-01-14,S001,P030,6,1568.04,15,Card
SALE0324,2024-02-21,S004,P001,10,61448.06,0,Cash
SALE0325,2024-05-12,S002,P011,5,4648.96,15,EMI
SALE0326,2024-05-02,S004,P021,5,102.95,15,UPI
SALE0327,2024-01-22,S002,P019,14,172.89,5,EMI
SALE0328,2024-01-06,S002,P037,1,683.62,15,Card
SALE0329,2024-02-20,S004,P006,9,35441.46,0,Cash
SALE0330,2024-04-19,S005,P026,20,1553.91,0,UPI
SALE0331,2024-01-31,S005,P011,1,4459.31,5,EMI
SALE0332,2024-02-27,S001,P032,7,887.63,0,UPI
SALE0333,2024-02-03,S004,P032,14,1124.92,10,Card
SALE0334,2024-04-17,S002,P019,6,175.54,0,Cash
SALE0335,2024-03-01,S003,P019,20,178.29,0,UPI
SALE0336,2024-01-22,S004,P038,1,2284.89,0,EMI
SALE0337,2024-04-18,S004,P014,20,1480.64,0,Cash
SALE0338,2024-03-01,S003,P004,16,19506.15,10,Cash
SALE0339,2024-05-09,S003,P001,20,63028.3,5,UPI
SALE0340,2024-01-11,S005,P009,19,429.91,0,EMI
SALE0341,2024-02-03,S004,P022,3,250.03,10,EMI
SALE0342,2024-01-30,S003,P010,11,1472.23,0,EMI
SALE0343,2024-04-20,S003,P018,10,309.79,0,UPI
SALE0344,2024-04-21,S003,P034,6,4802.5,5,Card
SALE0345,2024-01-14,S004,P036,7,461.32,0,Card
SALE0346,2024-03-07,S004,P003,6,5305.39,5,Cash
SALE0347,2024-04-23,S001,P032,12,1172.13,10,EMI
SALE0348,2024-01-29,S004,P030,5,1296.99,0,Card
SALE0349,2024-02-13,S002,P019,17,202.37,10,Card
SALE0350,2024-05-14,S001,P038,19,2046.98,0,Card
SALE0351,2024-03-25,S001,P032,1,921.04,15,Cash
SALE0352,2024-05-31,S003,P026,4,1904.02,0,Cash
SALE0353,2024-06-17,S004,P006,16,32522.24,0,Cash
SALE0354,2024-06-16,S001,P022,20,310.56,0,Card
SALE0355,2024-06-13,S001,P014,10,1519.42,0,Cash
SALE0356,2024-04-07,S005,P036,3,508.46,0,Card
SALE0357,2024-01-06,S001,P026,7,1494.91,5,UPI
SALE0358,2024-03-17,S001,P010,16,1947.62,15,UPI
SALE0359,2024-04-01,S002,P039,4,816.87,10,Card
SALE0360,2024-04-09,S004,P032,16,915.41,10,EMI
SALE0361,2024-04-04,S004,P006,20,29361.02,15,EMI
SALE0362,2024-05-11,S001,P006,11,38653.59,15,Card
SALE0363,2024-05-14,S004,P010,17,1497.23,5,EMI
SALE0364,2024-03-17,S004,P006,5,38782.48,15,UPI
SALE0365,2024-04-19,S005,P016,10,595.14,10,Cash
SALE0366,2024-01-28,S005,P003,17,4809.35,0,EMI
SALE0367,2024-03-31,S003,P037,9,612.03,10,Cash
SALE0368,2024-02-15,S004,P008,6,4220.27,0,Cash
SALE0369,2024-03-21,S003,P027,19,624.4,15,EMI
SALE0370,2024-03-28,S003,P040,6,872.38,0,UPI
SALE0371,2024-05-16,S004,P007,1,948.16,0,Cash
SALE0372,2024-04-27,S004,P011,13,4681.19,15,EMI
SALE0373,2024-06-06,S005,P020,12,333.64,15,EMI
SALE0374,2024-02-02,S001,P020,5,258.14,0,Cash
SALE0375,2024-02-23,S001,P013,16,1313.73,15,Card
SALE0376,2024-02-18,S005,P028,3,1137.97,5,Card
SALE0377,2024-01-06,S004,P031,4,708.72,0,EMI
SALE0378,2024-01-06,S004,P032,15,1028.29,0,UPI
SALE0379,2024-01-14,S004,P037,11,489.5,15,EMI
SALE0380,2024-05-28,S004,P027,20,625.84,0,Cash
SALE0381,2024-05-04,S004,P032,17,1030.37,10,EMI
SALE0382,2024-05-15,S001,P015,1,4200.68,0,Cash
SALE0383,2024-05-01,S004,P018,4,270.33,15,UPI
SALE0384,2024-01-06,S004,P029,6,2001.81,0,EMI
SALE0385,2024-02-29,S004,P023,17,62.54,15,UPI
SALE0386,2024-02-03,S004,P039,10,788.43,5,EMI
SALE0387,2024-02-11,S004,P024,20,40.83,15,Cash
SALE0388,2024-02-14,S002,P031,7,705.91,5,Cash
SALE0389,2024-03-18,S004,P027,8,518.14,0,Cash
SALE0390,2024-04-01,S003,P023,6,61.42,10,Cash
SALE0391,2024-04-20,S003,P005,4,2533.22,0,Card
SALE0392,2024-03-28,S003,P032,12,1093.92,10,UPI
SALE0393,2024-06-03,S005,P010,4,1888.14,5,EMI
SALE0394,2024-06-05,S001,P008,20,4138.69,0,Cash
SALE0395,2024-02-12,S001,P033,4,1768.41,0,Card
SALE0396,2024-05-09,S004,P019,16,196.54,0,Card
SALE0397,2024-02-05,S003,P024,4,51.27,5,EMI
SALE0398,2024-05-01,S002,P001,11,60814.16,0,Cash
SALE0399,2024-04-16,S003,P018,12,283.35,0,Card
SALE0400,2024-02-28,S004,P034,5,5695.28,5,EMI
SALE0401,2024-06-23,S005,P030,12,1735.86,5,Card
SALE0402,2024-01-18,S005,P001,3,62025.98,5,Card
SALE0403,2024-04-10,S001,P028,2,1295.15,15,Card
SALE0404,2024-06-10,S001,P037,17,694.13,5,EMI
SALE0405,2024-03-21,S003,P036,12,434.81,0,Card
SALE0406,2024-06-13,S004,P026,7,1934.73,10,EMI
SALE0407,2024-02-20,S004,P023,10,59.18,10,UPI
SALE0408,2024-05-13,S002,P025,18,890.33,0,UPI
SALE0409,2024-06-11,S003,P034,6,4266.13,10,UPI
SALE0410,2024-04-18,S003,P016,17,500.09,0,UPI
SALE0411,2024-03-31,S005,P017,4,298.69,15,Cash
SALE0412,2024-05-26,S003,P029,1,2129.55,0,Card
SALE0413,2024-03-13,S003,P023,19,73.78,15,EMI
SALE0414,2024-01-27,S002,P034,11,5171.4,0,UPI
SALE0415,2024-02-07,S001,P030,14,1674.15,0,Cash
SALE0416,2024-02-03,S004,P004,16,15289.99,0,UPI
SALE0417,2024-05-30,S004,P034,18,5175.98,5,UPI
SALE0418,2024-06-11,S004,P038,14,2720.3,15,EMI
SALE0419,2024-02-06,S002,P027,17,501.14,15,EMI
SALE0420,2024-05-15,S005,P009,4,519.23,5,EMI
SALE0421,2024-05-23,S002,P003,12,5686.15,0,EMI
SALE0422,2024-04-04,S001,P008,19,3477.28,10,Card
SALE0423,2024-03-19,S003,P008,12,3495.63,5,Cash
SALE0424,2024-05-30,S002,P010,14,1475.05,0,UPI
SALE0425,2024-05-05,S002,P014,1,1403.08,0,Cash
SALE0426,2024-05-03,S004,P003,19,4606.01,5,UPI
SALE0427,2024-06-04,S004,P025,5,1055.04,10,EMI
SALE0428,2024-02-08,S004,P029,11,1848.12,10,EMI
SALE0429,2024-04-11,S002,P025,11,978.91,15,EMI
SALE0430,2024-02-12,S001,P018,1,277.79,15,UPI
SALE0431,2024-06-13,S001,P036,18,449.36,10,Cash
SALE0432,2024-02-18,S005,P037,16,594.44,0,Cash
SALE0433,2024-01-05,S002,P035,9,2875.04,0,EMI
SALE0434,2024-06-04,S005,P006,11,31905.14,0,EMI
SALE0435,2024-04-21,S003,P002,6,24362.6,10,UPI
SALE0436,2024-01-24,S003,P025,4,1130.1,10,Card
SALE0437,2024-02-16,S002,P019,9,198.86,0,UPI
SALE0438,2024-01-16,S002,P027,20,673.34,0,Cash
SALE0439,2024-04-09,S003,P004,4,15929.96,5,UPI
SALE0440,2024-01-31,S004,P017,2,318.39,10,Card
SALE0441,2024-05-09,S005,P032,13,1158.07,0,Cash
SALE0442,2024-05-21,S004,P021,14,95.1,0,EMI
SALE0443,2024-03-09,S001,P015,18,5036.29,15,Cash
SALE0444,2024-06-15,S005,P016,5,540.38,5,EMI
