ProductID,StoreID,StockOnHand,LastRestockDate,ReorderTriggered
P014,S003,24,2024-03-21,N
P014,S004,37,2024-01-31,N
P014,S005,40,2024-02-14,N
P015,S001,30,2024-03-08,N
P015,S002,42,2024-01-24,N
P015,S003,56,2024-02-08,N
P015,S004,53,2024-01-30,N
P015,S005,56,2024-02-07,N
P016,S001,42,2024-03-03,N
P016,S002,31,2024-03-21,N
P016,S003,25,2024-03-17,N
P016,S004,22,2024-03-10,N
P016,S005,30,2024-02-07,N
P017,S001,6,2024-01-29,Y
P017,S002,7,2024-02-06,Y
P017,S003,26,2024-02-27,N
P017,S004,20,2024-02-01,N
P017,S005,42,2024-02-24,N
P018,S001,7,2024-01-23,Y
P018,S002,29,2024-02-10,N
P018,S003,42,2024-01-15,N
P018,S004,22,2024-03-30,N
P018,S005,25,2024-03-31,N
P019,S001,8,2024-03-02,N
P019,S002,53,2024-03-03,N
P019,S003,38,2024-02-22,N
P019,S004,43,2024-01-31,N
P019,S005,1,2024-02-07,Y
P020,S001,17,2024-03-05,N
P020,S002,13,2024-02-22,Y
P020,S003,3,2024-03-12,Y
P020,S004,49,2024-02-11,N
P020,S005,16,2024-03-27,Y
P021,S001,20,2024-02-22,Y
P021,S002,25,2024-02-26,Y
P021,S003,27,2024-02-21,N
P021,S004,16,2024-01-07,Y
P021,S005,17,2024-03-03,Y
P022,S001,46,2024-01-29,N
P022,S002,21,2024-03-22,N
P022,S003,52,2024-01-06,N
P022,S004,19,2024-02-27,N
P022,S005,26,2024-01-29,N
P023,S001,36,2024-01-22,N
P023,S002,34,2024-01-27,N
P023,S003,49,2024-03-21,N
P023,S004,7,2024-03-19,Y
P023,S005,39,2024-02-12,N
P024,S001,8,2024-03-18,N
P024,S002,34,2024-01-03,N
P024,S003,60,2024-01-03,N
P024,S004,51,2024-02-18,N
P024,S005,5,2024-03-31,Y
P025,S001,21,2024-02-15,N
P025,S002,49,2024-03-11,N
P025,S003,4,2024-03-24,Y
P025,S004,3,2024-03-07,Y
P025,S005,13,2024-02-16,N
P026,S001,34,2024-01-26,N
P026,S002,10,2024-03-09,Y
P026,S003,25,2024-01-30,N
P026,S004,18,2024-01-21,N
P026,S005,58,2024-02-17,N
P027,S001,21,2024-02-22,N
P027,S002,13,2024-03-11,N
P027,S003,46,2024-02-01,N
P027,S004,60,2024-01-02,N
P027,S005,2,2024-01-03,Y
P028,S001,48,2024-03-08,N
P028,S002,6,2024-03-05,Y
P028,S003,25,2024-03-03,Y
P028,S004,2,2024-01-21,Y
P028,S005,18,2024-02-08,Y
P029,S001,1,2024-01-30,Y
P029,S002,40,2024-03-29,N
P029,S003,15,2024-01-05,N
P029,S004,17,2024-01-16,N
P029,S005,52,2024-02-18,N
P030,S001,41,2024-02-21,N
P030,S002,8,2024-02-04,N
P030,S003,55,2024-01-11,N
P030,S004,4,2024-01-10,Y
P030,S005,32,2024-03-31,N
P031,S001,48,2024-02-23,N
P031,S002,1,2024-01-02,Y
P031,S003,47,2024-03-10,N
P031,S004,38,2024-01-20,N
P031,S005,6,2024-03-16,Y
P032,S001,50,2024-02-20,N
P032,S002,12,2024-03-18,Y
P032,S003,54,2024-02-09,N
P032,S004,50,2024-02-11,N
P032,S005,27,2024-03-06,N
P033,S001,47,2024-01-03,N
P033,S002,19,2024-02-05,N
P033,S003,29,2024-01-26,N
P033,S004,6,2024-02-03,Y
P033,S005,41,2024-03-14,N
P034,S001,30,2024-02-18,N
P034,S002,18,2024-02-24,Y
P034,S003,5,2024-01-29,Y
P034,S004,26,2024-03-12,Y
P034,S005,17,2024-03-02,Y
P035,S001,18,2024-03-30,Y
P035,S002,34,2024-03-05,N
P035,S003,15,2024-02-18,Y
P035,S004,1,2024-03-04,Y
P035,S005,46,2024-02-20,N
P036,S001,60,2024-02-17,N
P036,S002,48,2024-03-10,N
P036,S003,45,2024-01-14,N
P036,S004,28,2024-01-29,N
P036,S005,36,2024-01-04,N
P037,S001,25,2024-01-30,N
P037,S002,28,2024-02-17,N
P037,S003,30,2024-03-13,N
P037,S004,6,2024-03-23,Y
P037,S005,19,2024-02-12,Y
P038,S001,9,2024-03-21,Y
P038,S002,5,2024-01-13,Y
P038,S003,35,2024-01-22,N
P038,S004,13,2024-03-03,Y
P038,S005,37,2024-02-01,N
P039,S001,5,2024-01-19,Y
P039,S002,25,2024-03-19,N
P039,S003,53,2024-03-01,N
P039,S004,33,2024-03-13,N
P039,S005,48,2024-01-30,N
P040,S001,3,2024-03-04,Y
P040,S002,16,2024-02-22,Y
P040,S003,19,2024-02-13,N
P040,S004,53,2024-01-20,N
P040,S005,2,2024-02-11,Y
